"Reference","Value","Qty","#","LCSC"
"A1","Arduino_Nano_v3.x","1","1","-"
"C1","1u","1","2","C52923"
"C2","100n","1","3","C1525"
"C3","100n","1","4","C1525"
"C4","100n","1","5","C1525"
"C5","100n","1","6","C1525"
"C6","100n","1","7","C1525"
"C7","100n","1","8","C1525"
"C8","100n","1","9","C1525"
"C9","22p","1","10","C1555"
"C10","22p","1","11","C1555"
"C11","1u","1","12","C52923"
"C12","1u","1","13","C52923"
"D1","LED","1","14","C434447"
"D2","D_Schottky","1","15","C2837790"
"D3","LED","1","16","C434447"
"F1","Polyfuse","1","17","C914087"
"J1","USB_C_Receptacle_USB2.0","1","18","C2765186"
"J2","ICSP","1","19","-"
"R1","5.1k","1","20","C25905"
"R2","5.1k","1","21","C25905"
"R3","5.1k","1","22","C25905"
"R4","5.1k","1","23","C25905"
"R5","330","1","24","C25104"
"R6","2k","1","25","C4109"
"R7","2k","1","26","C4109"
"SW1","SW_Push","1","27","C520860"
"U1","ATmega328P-A","1","28","C14877"
"U2","XC6206P502MR","1","29","C16767"
"U3","CP2102N-Axx-xQFN28","1","30","C6568"
"Y1","16 MHz","1","31","C13738"
