"Reference","Value","Qty","#","LCSC"
"A1","Arduino_UNO_Connects","1","1","-"
"C1","100n","1","2","C14663"
"C2","100n","1","3","C14663"
"C3","100n","1","4","C14663"
"C4","100n","1","5","C14663"
"C5","100n","1","6","C14663"
"C6","100n","1","7","C14663"
"C7","100n","1","8","C14663"
"C8","22p","1","9","C1653"
"C9","22p","1","10","C1653"
"C10","22u","1","11","C11366"
"C11","22u","1","12","C11366"
"C12","22u","1","13","C11366"
"D1","PRTR5V0U2X","1","14","C2827688"
"D2","D_Schottky","1","15","C8598"
"D3","D_Schottky","1","16","C8598"
"D4","LED","1","17","C72043"
"D5","LED","1","18","C72043"
"F1","Polyfuse","1","19","C70077"
"J1","USB_C_Receptacle_USB2.0","1","20","C2765186"
"J2","Conn_01x02_Pin","1","21","-"
"J3","ICSP","1","22","-"
"L1","10uH","1","23","C51942"
"R1","5.1k","1","24","C23186"
"R2","5.1k","1","25","C23186"
"R3","5.1k","1","26","C23186"
"R4","5.1k","1","27","C23186"
"R5","330","1","28","C23138"
"R6","2k","1","29","C22940"
"R7","2k","1","30","C22940"
"SW1","SW_Push","1","31","C271751"
"TP1","TestPoint","1","32","-"
"TP2","TestPoint","1","33","-"
"U1","CH340C","1","34","C84681"
"U2","ATmega328P-A","1","35","C14877"
"U3","AMS1117-5V","1","36","C6187"
"U4","AMS1117-3.3V","1","37","C6186"
"Y1","16MHz","1","38","C13738"
