"Reference","Value","Qty","#","LCSC"
"C1","100nF","1","1","C1525"
"C2","100nF","1","2","C1525"
"C3","1uF","1","3","C52923"
"C4","1uF","1","4","C52923"
"C5","100nF","1","5","C1525"
"C6","100nF","1","6","C1525"
"C7","100nF","1","7","C1525"
"C8","100nF","1","8","C1525"
"C9","100nF","1","9","C1525"
"C10","100nF","1","10","C1525"
"C11","100nF","1","11","C1525"
"C12","100nF","1","12","C1525"
"C13","1uF","1","13","C52923"
"C14","1uF","1","14","C52923"
"C15","100nF","1","15","C1525"
"C16","27p","1","16","C1557"
"C17","27p","1","17","C1557"
"D1","D_Schottky","1","18","C8598"
"D2","LED","1","19","C434448"
"D3","LED","1","20","C434448"
"D4","LED","1","21","C434448"
"H1","MountingHole","1","22","-"
"H2","MountingHole","1","23","-"
"H3","MountingHole","1","24","-"
"H4","MountingHole","1","25","-"
"J1","USB_C_Receptacle_USB2.0","1","26","C2765186"
"J3","Conn_01x20","1","27","-"
"J4","Conn_01x20","1","28","-"
"J5","Conn_01x03","1","29","-"
"J6","Conn_01x03_MountingPin","1","30","C160389"
"J7","Conn_01x01_Pin","1","31",""
"R1","5.1k","1","32","C25905"
"R2","5.1k","1","33","C25905"
"R3","5.1k","1","34","C25905"
"R4","27R","1","35","C2909343"
"R5","27R","1","36","C2909343"
"R6","5.1k","1","37","C25905"
"R7","5.1k","1","38","C25905"
"R8","1k","1","39","C11702"
"R9","1k","1","40","C11702"
"R10","1k","1","41","C11702"
"R11","1k","1","42","C11702"
"R12","1k","1","43","C11702"
"R13","1k","1","44","C11702"
"R14","1k","1","45","C11702"
"R15","1k","1","46","C11702"
"SW1","SW_Push","1","47","C139797"
"SW2","SW_Push","1","48","C139797"
"TP1","","1","49",""
"TP2","","1","50",""
"TP3","","1","51",""
"TP4","","1","52",""
"TP5","","1","53",""
"TP6","","1","54",""
"TP7","","1","55",""
"TP8","","1","56",""
"TP9","","1","57",""
"TP10","","1","58",""
"TP11","","1","59",""
"TP12","","1","60",""
"TP13","","1","61",""
"TP14","","1","62",""
"U1","XC6206P332MR","1","63","C347376"
"U2","RP2040","1","64","C2040"
"U3","W25Q16JVUXIQ","1","65","C2843335"
"Y1","12MHz","1","66","C9002"
