"Reference","Value","Qty","#","LCSC"
"C1","100nF","1","1","C1525"
"C2","100nF","1","2","C1525"
"C3","100nF","1","3","C1525"
"C4","1uF","1","4","C52923"
"C5","1uF","1","5","C52923"
"C6","1uF","1","6","C52923"
"C7","18p","1","7","C1549"
"C8","18p","1","8","C1549"
"C9","100nF","1","9","C1525"
"C10","18p","1","10","C1549"
"C11","18p","1","11","C1549"
"D1","LED","1","12","C434448"
"D2","LED","1","13","C434448"
"J1","USB_C_Receptacle_USB2.0","1","14","C2765186"
"J2","Conn_01x20","1","15","-"
"J3","Conn_01x20","1","16","-"
"J4","Conn_01x04","1","17","-"
"R1","5.1k","1","18","C25905"
"R2","5.1k","1","19","C25905"
"R3","10k","1","20","C25744"
"R4","10k","1","21","C25744"
"R5","1.5k","1","22","C25867"
"R6","1k","1","23","C11702"
"R7","1k","1","24","C11702"
"SW1","SW_Push","1","25","C139797"
"SW2","SW_Push","1","26","C139797"
"U1","XC6206P332MR","1","27","C347376"
"U2","STM32F103C8Tx","1","28","C8734"
"Y1","8MHz","1","29","C115962"
"Y2","32.768kHz","1","30","C32346"
